,year,brand,number_sold
0,2005,Toyota,31127
1,2005,Nissan,17034
2,2005,Hyundai,12860
68,2006,Toyota,35326
69,2006,Honda,14964
70,2006,Nissan,14768
136,2007,Toyota,27574
137,2007,Honda,21215
138,2007,Nissan,9625
204,2008,Toyota,24818
205,2008,Honda,24591
206,2008,Mitsubishi,6862
272,2009,Toyota,17555
273,2009,Honda,9584
274,2009,Hyundai,6639
340,2010,Toyota,6927
341,2010,B.M.W.,4708
342,2010,Mercedes Benz,4705
408,2011,B.M.W.,4959
409,2011,Mercedes Benz,4166
410,2011,Toyota,3562
476,2012,B.M.W.,5039
477,2012,Mercedes Benz,4323
478,2012,Toyota,4272
544,2013,Mercedes Benz,3871
545,2013,B.M.W.,3730
546,2013,Toyota,3459
612,2014,Toyota,5431
613,2014,Mercedes Benz,4651
614,2014,B.M.W.,3239
680,2015,Toyota,12171
681,2015,Honda,7916
682,2015,Nissan,5574
750,2016,Honda,19349
751,2016,Toyota,18491
752,2016,Mazda,7091
824,2017,Toyota,19133
825,2017,Honda,16013
826,2017,Mazda,8509
