Year,Average
1978,0.65175
1979,0.881666667
1980,1.22125
1981,1.352833333
1982,1.28075
1983,1.22475
1984,1.1975
1985,1.19575
1986,0.931083333
1987,0.957083333
1988,0.963583333
1989,1.060083333
1990,1.21725
1991,1.196416667
1992,1.189666667
1993,1.172833333
1994,1.174
1995,1.205333333
1996,1.287916667
1997,1.29125
1998,1.115333333
1999,1.220833333
2000,1.562666667
2001,1.53125
2002,1.440833333
2003,1.637833333
2004,1.922916667
2005,2.337833333
2006,2.634666667
2007,2.849416667
2008,3.317416667
2009,2.40075
2010,2.8355
2011,3.5765
2012,3.695
2013,3.583916667
2014,3.424916667
2015,2.51
2016,2.203583333
2017,2.468666667
2018,2.793583333
2019,2.698416667
2020,2.2415
2021,3.132916667
